Statement_id,Title,Category,Technology_Bucket,Datasetfile,Description,Department,Organisation
SIH1537,Student Innovation,Hardware,MedTech / BioTech / HealthTech,NULL,"Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.",AICTE,"AICTE, MIC-Student Innovation"
SIH1538,Student Innovation,Hardware,Heritage & Culture,NULL,Ideas that showcase the rich cultural heritage and traditions of India,AICTE,"AICTE, MIC-Student Innovation"
SIH1539,Student Innovation,Hardware,Fitness & Sports,NULL,Ideas that can boost fitness activities and assist in keeping fit.,AICTE,"AICTE, MIC-Student Innovation"
SIH1540,Student Innovation,Hardware,Smart Automation,NULL,Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,AICTE,"AICTE, MIC-Student Innovation"
SIH1541,Student Innovation,Hardware,Toys & Games,NULL,Challenges your creative minds to conceptualize and develop unique toys & games.,AICTE,"AICTE, MIC-Student Innovation"
SIH1542,Student Innovation,Hardware,Space Technology,NULL,"For use of travel or activities beyond earth's atmosphere, for purposes such as spaceflight or space exploration.",AICTE,"AICTE, MIC-Student Innovation"
SIH1543,"Research and redesign a conventional aerospace component commonly found in air vehicles and utilize Fusion software to reimagine its design. Students can use Fusion Features such as Generative Design, Topology Optimization, Additive Build etc. The redesigned component should showcase innovation, enhanced functionality, and improved efficiency, all while being optimized for 3D printing.",Hardware,Smart Automation,https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/sih-2024-hardware-edition-additive-manufacturing.pdf,"The student's focus should be on using Fusion's additive manufacturing capabilities. They should aim to learn about additive manufacturing and its applications in aerospace design. This includes studying how to design aerospace components with considerations for structural integrity, and weight reduction. They should define project objectives and design constraints, and then utilize generative design tools in Fusion to explore and generate optimized designs. The student should evaluate these designs using simulation and analysis tools within Fusion. They should refine and iterate on the designs to further enhance performance. Finally, they should prototype and test the finalized design using appropriate 3D printing technologies. Teams choosing to submit idea for Autodesk’s problem statement are required to request their faculty (SIH SPOC) to fill this mandatory form. (https://forms.gle/SwfiFUDEiK73fVrx8) Fusion combines additive manufacturing (3D printing) capabilities with generative design features. It allows users to optimize designs for 3D printing, generate support structures, and explore numerous design options using algorithms. This integration enables the creation of complex and optimized parts using 3D printing technologies. Students and educators can click here to get FREE access to Fusion. (https://www.autodesk.com/education/edu-software/overview?sorting=featured&filters=individual) For Idea Submission: Each student team should submit Fusion public link of the Design and a PowerPoint presentation (5-7 Slides). Designs should be created using only Fusion and not copied or taken from any other source. For Grand Finale: Students must use Fusion to design and 3D print final design within the given time period and present the following to the jury members: PPT explaining the final project Public link of the design Rendered images Please note that the below marking criteria is only for Autodesk's this particular problem statement only: Design complexity and workability: 20 Design Optimization for 3D Printing (DFAM): 20 Innovative Design Features: 15 Use of Advanced Features in Fusion (Generative, Topology Optimization etc.): 30 Selection of AM Process & Materials: 15 Total marks: 100",Autodesk,Autodesk
SIH1544,"Students are supposed to use Fusion software to generate NC code with machine details & tool library for any industrial component. students should possess technical skills in areas such as CAD/CAM software, G-code programming, toolpath optimization, and machining fundamentals. Additionally, their project ideas should demonstrate a viable solution to a real-world problem, ensuring feasibility and practicality in implementation.",Hardware,Smart Automation,https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/sih-2024-hardware-edition-cnc.pdf,"Computer-Aided Manufacturing (CAM) is the use of software and computer-controlled machinery to automate a manufacturing process. Based on that definition, you need three components for a CAM system to function: Software that tells a machine how to make a product by generating toolpaths. Machinery that can turn raw material into a finished product. Post Processing converts toolpaths into a language machines can understand. From high-efficiency roughing with Adaptive Clearing to simplified control of multi-axis machines with Tool Orientation“ Teams choosing to submit idea for Autodesk’s problem statement are required to request their faculty (SIH SPOC) to fill this mandatory form. (https://forms.gle/SwfiFUDEiK73fVrx8) Autodesk Fusion makes it easy to program your CNC machine, fast. Manufacture with 2.5, 3, and multi axis milling, probing, turning, mill-turning, and profiling operations paired with a powerful post engine all included alongside professional design tools. Students and educators can click here to get FREE access to Fusion (https://www.autodesk.com/education/edu-software/overview?sorting=featured&filters=individual) For Idea Submission: Each student team should submit Fusion public link (toolpath included for Machining) of the Design and a PowerPoint presentation (5-7 Slides). Designs should be created using only Fusion and not copied or taken from any other source. For Grand Finale: Students must use Fusion to design and generate G code for the specific component within the given time period and present the following to the jury members: PPT explaining the final project Public link of the design G-code File Marking Criteria: Please note that this marking criteria is for Autodesk's this particular Problem Statement only Complexity of product (CAD): 10 Out-of-the-Box Thinking and Practicality: 20 Selection of Machine, Tools and Machining Process: 30 Machining Simulation: 20 G-code programming for CNC machine: 20 Total marks: 100",Autodesk,Autodesk
SIH1545,"Development of a non-electrical device for tracking the movement of the sun for movement of the solar panels, increasing their efficiency.",Hardware,Renewable / Sustainable Energy,NULL,"Background: Solar panels are most efficient when they are directly facing the sun. However, the sun’s position changes throughout the day and across seasons, which can reduce the amount of sunlight that fixed solar panels receive. Description: Traditional solar tracking systems often rely on electrical components and motors, which can be costly and require maintenance. A non-electrical tracking system offers a sustainable and low-maintenance alternative to enhance the efficiency of solar panels. Expected Solution: The problem statement is to develop a cost-effective, non-electrical device that can accurately track the sun’s movement and adjust the orientation of solar panels to maintain optimal exposure. This device should be reliable, easy to install, and capable of operating without external power sources.",Department of Science and Technology,Department of Science and Technology
SIH1546,Development of innovative design for flushing systems in western toilet sheets which can be used for deployment in public toilets.,Hardware,Miscellaneous,NULL,"Background: Public toilets are essential for maintaining hygiene in urban areas, but they often face challenges such as high usage, maintenance issues, and water wastage. Description and Expected Solution: An innovative public toilet design is required so that maximum usable area gets cleans during the flushing and can be automated in a mechanized form (not electronic), so that after the usage, the flushing system gets activated automatically, and the whole usable area gets cleaned.",Department of Science and Technology,Department of Science and Technology
SIH1547,Development of an alternative technology to check blockage of blood vessels (an alternative to conventional angiography.,Hardware,MedTech / BioTech / HealthTech,NULL,"Background: Angiography is a common medical imaging technique used to visualize the inside of blood vessels and detect blockages. Description: However, typically medical tests like radionuclide angiography involve the use of radioactive contrast agents, which can pose risks to patients, including radiation exposure and allergic reactions. There is a growing need for safer, non-invasive alternatives that can provide accurate diagnostics without these risks. Expected Solution: The problem statement is to develop a cost-effective, non-invasive technology that can accurately detect blockages in blood vessels without the use of radioactive materials. This technology should be suitable for widespread clinical use and provide reliable results comparable to conventional angiography.",Department of Science and Technology,Department of Science and Technology
SIH1548,Development of a suction based low-cost flush (with less water usage) for deployment in rural areas.,Hardware,Miscellaneous,NULL,"Background: Access to proper sanitation facilities is a significant challenge in many rural areas. Traditional flush toilets require a substantial amount of water, which may not be readily available in these regions. Additionally, the cost and complexity of installing conventional plumbing systems can be prohibitive. Description: A suction-based flush system offers a potential solution by reducing water usage and simplifying installation and maintenance. Expected Solution: The problem statement is to develop a cost-effective, suction-based flush system that can be easily deployed in rural areas. The system should minimize water usage, be simple to install and maintain, and provide a hygienic and effective means of waste disposal.",Department of Science and Technology,Department of Science and Technology
SIH1549,"Development of chemical strip (non-electronic) for identification of high temperature exposure in transportation of medicines/vaccines/FMCG goods, to ensure its usability.",Hardware,MedTech / BioTech / HealthTech,NULL,"Background: The transportation of temperature-sensitive goods is a critical aspect of supply chain management. Medicines, vaccines, and certain FMCG products require strict temperature control to maintain their efficacy and safety. Description: Exposure to high temperatures can compromise these products, leading to potential health risks and financial losses. Traditional electronic temperature monitoring devices can be costly and may not be feasible for all types of shipments. Expected Solution: Problem statement is to develop a cost-effective, non-electronic chemical strip that changes colour or exhibits a visible change when exposed to temperatures above a certain threshold. This strip should be easy to use, reliable, and capable of providing a clear indication of temperature breaches during transportation.",Department of Science and Technology,Department of Science and Technology
SIH1550,Development of portable device (non-contact device) for measurement of eye pressure in glaucoma patients for usage at home.,Hardware,MedTech / BioTech / HealthTech,NULL,"Background: Glaucoma is a leading cause of blindness worldwide, and managing intraocular pressure (IOP) is crucial for preventing disease progression. Description: Traditional methods of measuring IOP, such as Goldmann applanation tonometry, require direct contact with the eye, topical anaesthesia, and skilled personnel, making them less accessible for regular monitoring. Non-contact methods, such as air-puff tonometry, offer a more convenient alternative but are often limited to clinical settings due to their size and cost. Expected Solution: Problem statement is to develop a cost-effective, portable, and non-contact device that can measure IOP accurately and reliably with safety. This device should be easy to use, and allowing patients to use at home.",Department of Science and Technology,Department of Science and Technology
SIH1554,Smart Irrigation System for Precision Farming,Hardware,"Agriculture, FoodTech & Rural Development",NULL,"Background: Water scarcity is a major challenge in agriculture, leading to inefficient water use and reduced crop yields. Traditional irrigation methods often result in overuse or underuse of water. Description: Develop a smart irrigation system that utilizes sensors and IoT technology to monitor soil moisture levels and weather conditions. This system will provide real-time data to farmers, enabling them to make informed decisions on irrigation scheduling, thus optimizing water usage and enhancing crop yield. Expected Solution: A smart irrigation module integrated with moisture sensors and a mobile application to provide farmers with timely irrigation alerts and recommendations based on real-time data.","University of Agricultural Sciences, Dharwad (UASD), The Indian Council of Agricultural Research",Ministry of Agriculture and Farmers Welfare
SIH1555,"Create a Virtual Herbal Garden that provides an interactive, educational, and immersive experience to users, showcasing the diverse range of medicinal plants used in AYUSH (Ayurveda, Yoga & Naturopathy, Unani, Siddha, and Homeopathy).",Software,MedTech / BioTech / HealthTech,NULL,"Background: The AYUSH sector relies heavily on medicinal plants and herbs, which form the backbone of traditional healing practices. However, physical gardens that are not accessible to everyone. A Virtual Herbal Garden will bridge this gap by offering a digital platform where users can explore, learn, and understand the significance of various medicinal plants from the comfort of their homes. Description: Participants are tasked with developing a Virtual Herbal Garden that is engaging, informative, and user-friendly. This virtual garden should include: Interactive 3D Models: Realistic 3D models of medicinal plants that users can rotate, zoom, and explore from different angles. Detailed Information: Comprehensive details about each plant, including its botanical name, common names, habitat, medicinal uses, and methods of cultivation. Multimedia Integration: High-quality images, videos, and audio descriptions to enhance the learning experience. Search and Filter Options: Advanced search functionality to easily locate specific plants and filter them based on various criteria like medicinal uses, region, and type. Virtual Tours: Guided virtual tours highlighting specific themes, such as plants for digestive health, immunity, skin care, etc. User Interaction: Features that allow users to bookmark favourite plants, take notes, and share information on social media. Expected Outcome: The expected outcome is a comprehensive Virtual Herbal Garden that serves as a valuable educational tool for students, practitioners, and enthusiasts of the AYUSH sector. This platform should make the knowledge of medicinal plants accessible to a wider audience, promoting awareness and understanding of traditional herbal practices. It should be visually appealing, informative, and interactive, providing users with an immersive experience that combines technology with traditional knowledge.",All India Institute of Ayurveda (AIIA),Ministry of AYUSH
SIH1556,"Develop a Smart Yoga Mat integrated with Artificial Intelligence (AI) capabilities to support smart watch integration for tracking progress and provide curated yoga content by experts, while ensuring its affordability.",Hardware,MedTech / BioTech / HealthTech,NULL,"Background: Yoga has gained global recognition for its numerous health benefits, including physical fitness, mental well-being, and stress reduction. As part of India's ancient heritage, yoga is a key component of the AYUSH (Ayurveda, Yoga & Naturopathy, Unani, Siddha, and Homoeopathy) systems of medicine, promoting holistic health practices. In today's digital age, there is a growing demand for innovative solutions that combine traditional practices with modern technology. A smart yoga mat equipped with AI and smart watch integration presents an opportunity to enhance the yoga experience, making it more interactive, personalized, and accessible. Detailed Description: The objective of this challenge is to design and develop a Smart Yoga Mat that leverages AI capabilities to: Smart Watch Integration: Enable seamless connectivity with smart watches to track key metrics such as heart rate, calories burned, and workout duration. This integration should provide real-time feedback to users, helping them monitor their progress and adjust their practice accordingly. AI-Powered Guidance: Utilize AI algorithms to analyze user data from the smart watch and provide personalized recommendations for yoga routines. The Smart Yoga Mat should be capable of offering curated content, including instructional videos, audio guidance, and posture corrections based on individual performance metrics. Affordability: Ensure that the Smart Yoga Mat remains cost-effective without compromising on quality or functionality. This affordability factor is crucial for encouraging widespread adoption among AYUSH start-ups and yoga enthusiasts across India. Expected Outcome: Participants are expected to deliver a prototype of the Smart Yoga Mat that demonstrates: Seamless integration with smart watches for tracking yoga-related metrics. AI-driven capabilities for personalized yoga guidance and content recommendations. User-friendly interface and ergonomic design suitable for various yoga practices. Cost-effective manufacturing feasibility, suitable for AYUSH start-ups.",All India Institute of Ayurveda (AIIA),Ministry of AYUSH
SIH1557,"Development of Tyre Maintenance and Operation App, including fitment of necessary IIoT related hardware in Dumpers",Hardware,Smart Automation,NULL,"Tyre cost is one of the most important O&M cost in dumpers. In high capacity dumpers of CIL, the tyres are imported ones, and cost of such tyre is more than Rs. 25.00 lakhs each. Two aspects are equally crucial for tyre management in a mine – The first is the proper assessment of TKPH, and the second is proper maintenance of tyre pressure. Besides these two aspects, proper tyre performance analysis is also important. TKPH: Tonne-Kilometer-Per-Hour It is indicative of how much average load is carried by an individual tyre, for a given average speed condition, during an entire shift of operation. TKPH = (Mean load on tyre in tonne) x (AWSS in km/hour) Where, Mean Load is the average load in empty condition and loaded condition, and AWSS is the Average Speed during the Work Shift. Assessing the correct TKPH requirement by the user for a particular mining condition is the most important task. The user has to seek a particular TKPH tyre from the manufacturer. Manufacturer accordingly manufactures and supplies the same TKPH tyre to the user, by using suitable tread pattern and tyre compound in its factory. More is the TKPH, more heat-resistance the tyre will be. But if the TKPH is increased just to ensure heat-resistance, then it adversely affects the cut-resistance properties of the tyre. If operating TKPH is very very less than the designed TKPH of tyres, there will not be heat- failures, but cut-failures will increase. So, there should be a balance between the heat-resistance and cut-resistance properties, and proper assessment of TKPH is a must. Actions required: The payload monitoring system has already been installed in CIL’s dumpers, and the payload as well as operating speed per shift is being continuously recorded in the Vehicle’s Productivity and Health Monitoring System. By using suitable IoT application and suitable app, the payload and speed data may be directly transferred and analysed through the suitable app, so that correct value of TKPH assessment may be made directly through the mobile app. This assessed TKPH will be very helpful in procurement of suitable tyres for a particular geo mining condition. Tyre Pressure Proper tyre pressure is equally important for tyre life. Incorrect tyre pressure adversely affects the fuel economy, as well as the performance of other vital systems of the vehicle, apart from creating safety issues also. In a big mine, regular checking of tyre pressure for all the dumpers remain a daunting task, and involves lot of time and manpower resources. Expected Solution: Suitable Tyre Pressure Sensors along with data transfer mechanism need to be installed in the dumpers, which can be used in real-time capturing of tyre pressure of all tyres fitted in the dumper. So, first of all necessary IIoT system along with hardware need to be fitted in the dumper. Next, appropriate application may be developed, to transfer the real-time tyre pressure data through the Mobile App. The real-time tyre pressure data may also be simultaneously displayed to the operator with suitable alarm system in case of low tyre pressure. In case of low tyre pressure, suitable alerts may be incorporated for Mobile App user. If such a system through Mobile App is controlled effectively by Maintenance team, they may not require to check each and every tyre pressure physically, rather they can directly identify the tyres which need immediate attention. This will help in optimum utilization of the tyre maintenance resources, and avoiding unnecessary downtime. Tyre Performance Analysis Apart from the above two aspects of tyres maintenance and operation, the Mobile App may also keep tyre-wise, its fitment position-wise records to properly assess the tyre performance and reasons of failures including premature failures, if any. Such provisioning in the App will automatically compute the individual tyre life obtained in a particular mine; and if linked to costing, it will automatically compute the cost/working hour of tyres. Such analysis will go a long way in improving the tyre performance in CIL.",Central Mine Planning & Design Institute Limited,Ministry of Coal
SIH1558,Al-based automated defective exhibit identification system placed in a gallery.,Hardware,Smart Automation,NULL,"Background: ln Science Museums/ Centres exhibits are mostly interactive in nature. Interactive exhibits are the lifeblood of science centers, but keeping them functioning smoothly can be a challenge. It poses the problem of regular maintenance. It has also been observed that defects remain unattended for long due to not being identified. It creates a genuine problem for the visitors' experience and sometimes they are not aware of the optimum result. Here lines the requirement for an automated defective exhibit identification system. Description: It is a real-life problem in big Museum/ Science Museum/Centres, where there is inadequacy of manpower. Following are the problems in a nutshell that arose due to unnoticed and undiagnosed defects of the exhibits. High Maintenance Needs: Unlike static displays, interactive elements have more moving parts, software, and technology that require regular upkeep to function properly these are considered as """"golden parameters of any particular Exhibits"""". Theses parameters are to be kept functional to keep the exhibits in a running condition. Frustration for Visitors: Encountering a non-functional exhibit can be frustrating for visitors, especially children, who may not understand why it's not working. Missed Learning Opportunities: Broken/ non-functional exhibits prevent visitors from fully engaging with the science concepts they're designed to teach. Because of their complexity, malfunctions might not be immediately obvious to visitors or staff, leading to a broken experience. Also creates a bad impression for that particular gallery and ultimately to the science center or to Science Museums. Expected Solution: Now, with the emergence of artificial intelligence, it transpires that amalgamation of Al with automation may give efficient result to detect defective exhibits placed in the galleries and give the feedback to the concerned section for immediate repairing initiative and rectify the exhibits. Thus, aiming a flawless learning experience or edutainment in Science Museum or in Science Center.",National Council of Science Museums,Ministry of Culture
SIH1559,Develop a functional solution that demonstrates the hardware enabled root of trust.,Hardware,Smart Automation,NULL,"1. Background. UIDAI has implemented app-based face authentication solution. This solution uses the support of the backend service to secure the captured image using PKI technology, so that it can be used by the authentication system. UIDAI intends to avoid this network call for encryption and implement an in-device solution to enable PKI implementation. 2. Problem Description. As part of the challenge, participating teams to develop a solution that is platform agnostic i.e applicable for both Android and IOS platforms, and will derive the root of trust from the hardware of the device. The key pair so generated with the help of hardware is to identify the device uniquely and must connect it with IMEI number or any such unique number of the mobile device. The solution must meet the following requirements:- 3. The proposed solution must meet the following objectives. 3.1 Feature Requirement. The solution must use hardware to generate a key pair to uniquely identify the device. The private key of the certificate par must remain in the hardware and must not be extractable. All encryption must be performed within the hardware enclave (i.e in hardware) to protect the private key. 3.2 The solution must support key lifecycle management i.e key expiry or revocation. 3.3 The solution must be completely offline i.e. should not use any backend component for implementation of the PKI security. 3.4 The solution must enable UIDAI to use RSA PKCS or OAEP encryption protocols. 4. Expected Solution. The expected outcome of this project is a functionalsolution that demonstrates the PKI encryption of blob data in the mobile device using a key pair that is linked to the device hardware.",Unique Identification Authority of India,Ministry of Electronics and Information Technology
SIH1560,"Rapid colorimetric and artificial intelligence-based methods for determining the microbial quality of raw milk, processed milk, and milk products",Hardware,MedTech / BioTech / HealthTech,NULL,"Background: Milk is perishable product, it requires immediate processing after few hours (2-4Hrs) of production, otherwise, bacterial load increases and milk gets deteriorate. At present Methytene Blue Dye Reduction Test, commonly known as MBRT test is used as a quick method to assess the microbiological quality of raw and pasteurized milk. This test is based on the fact that the blue colour of the dye solution added to the milk get decolourized when the oxygen present in the milk get exhausted due to microbial activity. The sooner the decolourization, more inferior is the bacteriological quality of milk assumed to be. This test is widely used at the dairy reception dock, processing units and milk chilling centres where it is followed as acceptance/rejection criteria for the raw and processed milk. Further, processed dairy products may also get spoiled in the supply chain for microbiological reasons. Description: The above mentioned MBRT has to be done under sterile conditions. Take 10 ml milk sample in sterile MBRT test tube. Add 1 ml MBRT dye solution (dye concentration 0.005%). Stopper the tubes with sterilized rubber stopper and carefully place them in a test tube stand dipped in a serological water bath maintained at 37t1oC. Record this time as the beginning of the incubation period. Decolourization is considered complete when only a faint blue ring (about 5mm) persists at the top. However, for processed dairy products, the enumeration of bacterial load is time-consuming and requires different methods. Expected solution: The above mentioned MBRT takes 4 to 6 Hours for completion of the test. Therefore, it is proposed to develop cost effective, rapid and portable method/Machine to deduct microbial load in Raw and Pasteurized Milk as compared to present Methylene blue reduction test (MBRT).Meanwhile, smart packaging tools such as freshness indicators could be a solution for processed dairy products.ln this context, artificial intelligence, machine vision, systems, etc. could be explored.",Department of Animal Husbandry and Dairying,"Ministry of Fisheries, Animal Husbandry and Dairying"
SIH1561,"Affordable, Sustainable, and User-friendly Solutions for Semen Dose Storage and Distribution",Hardware,"Agriculture, FoodTech & Rural Development",NULL,"Background: lndia has emerged as leading milk producer country in the world, however productivity of dairy animals is very low. To improve the productivity of animals a major focus area is to breed these animals using semen from high genetic merit bulls through Artificial lnsemination (Al). Al enables farmers to access the best bull (male) genetics. Farmers can improve the production, health traits, fertility and longevity of their dairy cattle by using a balanced approach to breeding. Animal health is also improved through the use of Al. Description: For Al, the semen is inseminated into the female by placing a portion of it either in a collected or diluted form into the cervix or uterus by mechanical methods at the proper time and under most hygienic conditions. Ensuring the integrity of the cold chain from Semen Production centres to the farmer's destination, where semen is utilized for artificial insemination, is crucial for the effective functioning of the Al delivery system in lndia. Semen doses are currently stored and transported using liquid nitrogen and specialized containers. However, significant losses of liquid nitrogen occur during storage and transportation, leading to escalated costs for maintaining the cold chain. The cost of liquid nitrogen itself is an issue. Mishandling of liquid nitrogen poses potential health hazards. The bulky and heavy nature of liquid nitrogen storage containers necessitates considerable resou rces for transportation. Expected solution: . There is a need to explore and promote alternative, cost-effective, and long-lasting methods for the storage and transportation of semen doses . The design, material, type of insulation of storage containers can also help in cost effectiveness, reduction in losses, compactness and ease of carrying to facilitate efficient distribution.",Department of Animal Husbandry and Dairying,"Ministry of Fisheries, Animal Husbandry and Dairying"
SIH1562,Solution for end-to-end tracking of dual use chemicals used in both legitimate industries and illicit drug production from point of manufacture to point of end use/export.,Hardware,Blockchain & Cybersecurity,NULL,"Background: Dual use precursor chemicals are substances that have legitimate industrial and commercial applications but can also be used in the illicit manufacture of drugs. For e.g. Opium is converted to Heroin using Acetic Anhydride and manufacturing of Methamphetamine is done using Ephedrine or Pseudoephedrine. Precursor chemicals are essential in various legal industries such as pharmaceuticals, agriculture, manufacturing etc., but their potential for misuse necessitates strict regulation and monitoring. Appreciating this, Government of India has put different levels of regulations on some of the precursor chemicals in India under the Regulation of Controlled Substances Order, 2013. 7 widely misused precursor chemicals are put under strictest of the controls, where in any firm dealing in any of these 7 chemicals are required to maintain records and file quarterly reports with jurisdictional NCB Zonal Unit. Any activity undertaken with respect to these chemicals like manufacture, possession, storage, sale, purchase, distribution, export, consumption etc are to be reported to NCB. Further, NCB also issues Unique Registration Number (URN) to the firms indulged in the said activities. If any individual or firm is found to be involved in any of the activities without a valid URN are punishable under the Narcotic Drugs and Controlled Substances Act, 1985. Description: It is observed that some of the firms with valid URN to be handling any of the 7 domestically controlled precursor chemical, divert the same from licit channel and traffic it for manufacturing of narcotic drugs or psychotropic substances. Further, the investigations conducted also reveal that the firms usually create documentation of the movement of precursor to a licit firm for a licit activity and divert the same for illicit activities. Therefore, there is a need for end-to-end tracking of the 7 domestically controlled precursor chemicals (controlled substances) Expected Solution: A hardware/software/chemical solution for end-to-end tracking of dual use chemicals used in both legitimate industries and illicit drug production from point of manufacture to point of end use/export",Narcotics Control Bureau (NCB),Narcotics Control Bureau (NCB)
SIH1563,Automatic Change detection in Synthetic Aperture Radar satellite images,Hardware,Space Technology,https://developers.google.com/earth-engine/datasets/catalog/COPRNICUS_S1_GRD,"Background: Synthetic Aperture Radar satellite images have the capability for night time imaging as well as imaging without being affected by clouds. Automatic change detection on such images have wider application for various use cases. Description: Change detection between two SAR (Synthetic Aperture Radar) satellite images are straight forward if they are co-registered as the difference or ratio of corresponding pixels of the two images itself will give the change map. But such change maps will invariably have many natural changes as well like water body extent, flood extent, snow cover and forest cover changes etc. Our interest is to detect only man made changes and avoid natural changes. The solution can make use of Sentinel 1 SAR Open source satellite images and Google Earth Engine platform to access them. These images are co-registered by default. The GRD (Ground Range Detected) intensity image version of the Sentinel 1 SAR is to be used. Please note that images with same viewing geometry are better suited for change detection purposes. The solution should give the option for the user to vary the thresholds if any used for filtering change results. The change output should be in the form of polygons in a geographically referenced vector file. The solution should be scalable, means should be able to run on huge areas of interest and generate change alerts. The criteria for winning solution would be minimum false alarms with regard to man made changes. Expected Solution: A software based solution is expected that has a GUI to specify the area of interest for change detection and threshold controls to filter changes and output changes in the form of shapefiles/geojson with geographical references. It shall run above Google Earth Engine.",National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO)
SIH1564,Automatic Road Extraction and alert generation for new roads,Hardware,Space Technology,NULL,"Background: Department of Space has made available its medium resolution satellite images through Boonidhi portal. Resourcesat satellite images (LISS IV sensor) are useful to extract roads with width of 20 feet and above due to its resolution. Description Roads: are linear features on satellite images and quite clearly visible for human interpretation because of their linearity. Automated road extraction is required in view of very large volume of imagery available nowadays. The roads extracted must be saved to a GIS database. When there is a change or new road development compared to previous image of the same area, there should be an alert generated. Expected Solution: A software based solution is expected that has a GUI to specify the area of interest for road extraction and alerts generation. Output should be in the form of shapefiles with geographical references. It should make use of ISRO’s Boonidhi images. The alert should be sent to configured email ids.",National Technical Research Organisation (NTRO),National Technical Research Organisation (NTRO)
